source_id,source,page,chinese_date,western_date,old_placename_chinese,modern_placename_chinese,event_type_chinese,event_name,event_description,primary_source_1,primary_source_2,notes
10100001,HDSJ,,传说时代,约-21世纪初,,,,大禹治水,传说中的尧舜时代，黄河流域发生大洪水，为制止洪水泛滥，尧召集部落首领会议，举鲧负责平息洪水灾害。据《国语·鲁语下》记载：“鲧障洪水”，采用水来土挡的方法，治了九年，没有成功，受到制裁。舜继尧位后，又举鲧的儿子禹继承父业。禹改过去“障水”为“疏导”，联合伯益、后稷等部族，“居外十三年，过家门不敢人”(《史记·夏本纪》)，专心治水，终于把“浸山灭陵”的洪水，分疏九河，导流人于渤海，平治了水患。战国时期成书的《禹贡》记载：禹“导河积石(在今甘肃省)，至于龙门，南至于华阴，东至于砥柱(三门峡)，又东至于孟津。东过洛汭(在今河南巩县洛水人河处)，至于大伾(一说在河南成皋，一说在河南浚县大伾山)，北过降水(今漳河)，至于大陆(河北省大陆泽)，又北播为九河(古九河为：徒骇、太史、马颊、覆鬴、胡苏、简、絮、钩盘、鬲津)，同为逆河(以海水逆潮而得名)，人于海”。这就是后人所称的“禹河”。,,,
10100002,HDSJ,,夏代,约夏-期,,,,商侯冥治河,据《竹书纪年》记载，夏少康帝十一年，命商侯冥主持治河。冥忠于职守，兢兢业业，直到帝杼十三年，前后二十余载，最后为治河献出了自己的生命，故《国语·鲁语》中有“冥勤其官而水死”之说。,,,
10100003,HDSJ,,商代,-16世纪一-11世纪,,,,商都数迁,据《通鉴纲目》记载：商汤元年都城在亳，后因河患数迁其都。先迁西毫，仲丁六祀(公元前1557年)迁都于嚣，河直甲元祀(公元前1534年)迁都于相，祖乙元祀(公元前1525年)因相毁于河，又迁都于耿，祖乙九祀(公元前1517年)耿毁于河，后迁都于邸，盘庚十四祀(公元前1388年)迁都于殷。,,,
10100004,HDSJ,,周幽王二年,-780,,,,陕西岐山地震,据《国语·周语上》记载：周幽王二年，发生地震，黄河三条支流泾、洛、渭因岐山震崩、河源阻塞而枯竭。据《中国地震目录》一书称：震级在6—7级。,,,
10100005,HDSJ,,齐桓公三十五年,-651,,,,葵丘之会,春秋时期，防御黄河洪水的堤防已较为普遍。据《史记·齐世家》记载：齐桓公“会诸侯于葵丘(在今河南民权境)”，订立盟约，有一条规定是“无曲防”(《孟子·告子》)。规定各诸侯国之间，禁止修损人利己、以邻为壑的堤防。,,,
10100006,HDSJ,,周襄王五年,-647,,,,晋、秦泛舟之役,晋国饥荒，秦国水运粮食接济，从秦都雍(今陕西凤翔南)，经5胃水、黄河，溯黄河而北人汾水，至晋都绛(今山西曲沃)，船只络绎不绝，是黄河流域一次很大的跨侯国船运之举。史称“泛舟之役”。,,,
10100007,HDSJ,,周襄王二十七年,-625,,,,蒲津建桥,据《左传·文公二年》记载，公元前625年秦王派孟明率军伐晋，在蒲州附近架浮桥，取名孟明桥，即后人所称的蒲津桥。这是黄河上最早架设的一座浮桥。,,,
10100008,HDSJ,,周定王五年,-602,,,,禹河大徙,据《汉书·沟洫志》记载：大司空掾(为大司空的助理官员)王横言：“禹之行河水，本随西山下东北去。《周谱》云：‘定王五年河徙’，则今所行，非禹之所穿也。”清胡渭在《禹贡锥指》中说：“周定王五年，河徙自宿胥口(在今河南浚县)。”一般认为这是黄河第一次大改道。河徙后的河道，大致从滑县附近向东，至河南濮阳西，转而北上，在山东冠县北折向东流，到茌平以北，折向北流经德州，渐向北，经河北沧州，在今河北黄骅县以北人于渤海。,,,
10100009,HDSJ,,周贞定王十六年,-453,,,,山西开智伯渠灌田,晋国卿大夫智伯瑶联合韩、魏攻赵于晋阳(今太原西南)，筑坝拦截汾水支流晋水灌城。后人利用坝和渠灌溉农田，同时又另开一渠，称智伯渠。这是史载山西境内最早的有坝引水工程。,,,
10100010,HDSJ,,魏文侯二十五年,-421,,,,引漳十二渠,漳河当时属黄河流域。魏文侯二十五年西门豹为邺令(邺地在今河北省磁县、临漳一带)，“发民凿十二渠，引河水灌民田，田皆溉”(《史记·滑稽列传》)。又据《吕氏春秋·乐成》和《汉书·沟洫志》记载，漳水十二渠是史起所开，但史起于魏襄王时任邺令，约晚于西门豹一百年上下，后有人认为“西门溉其前，史起灌其后”(左太冲《魏都赋》)，两人都主持过开渠工作。十二渠通水后，“亩收一钟”(《论衡·率性》)，约合今每亩125公斤。,,,
10100011,HDSJ,,魏惠王十年,-360,,,,开鸿沟运河,魏惠王十年，开始修建一条人工运河，叫鸿沟，沟通了黄河与淮河。从郑州北引黄河水人圃田泽(古大湖，在郑州东)，然后从圃田泽开大沟到大梁(今开封)，“水盛则北注，渠溢则南播”(《水经·渠水注》)。到魏惠王三十一年(公元前339年)，又从大梁城开大沟向南折，通过颖水、涡河与淮河相连。据《史记·河渠书》记载：“自是之后，荥阳下引河东南为鸿沟，以通宋、郑、陈、蔡、曹、卫与济、汝、淮、泗会……于齐，则通苗(淄)、济之间，……此渠皆可行舟。”余水尚可灌田，民享其利。,,,
10100012,HDSJ,,魏惠王十二年,-358,,,,楚伐魏决河,楚国出师伐魏，决黄河水，“以水长垣之东”(《竹书纪年》)。,,,
10100013,HDSJ,,赵肃侯十八年,-332,,,,赵国决河灌齐魏,齐、魏联合攻打赵国，赵国“决河水灌之”(《史记·赵世家》)，齐、魏兵退。,,,
10100014,HDSJ,,秦昭襄王元年至五年,-306一-302,,,,修白起渠,秦大将白起在陕西凤翔县屯兵期间亲自督办修渠，称白起渠，该渠在今凤翔县城北1公里，现在的白起河即昔日的白起渠遗址，河段多为小溪，成为行洪水道。,,,
10100015,HDSJ,,赵惠文王十八年,-281,,,,赵伐魏决河,赵国又派军队至魏国东阳，“决河水，伐魏氏”(《史记·赵世家》)。,,,
10100016,HDSJ,,秦王政元年,-246,,,,开郑国渠,战国末期，秦国逐渐强大，韩国怕秦东伐，乃用“疲秦”之计，派水工郑国去劝说秦国办水利，建议在关中引泾水兴修大型灌溉工程。据《史记·河渠书》记载：白中山西麓瓠口引泾水向东开渠，与北山平行注洛水，全长三百余里，用以溉田。渠成之后，利用泾河浑水放淤，改良盐碱地四万余顷(折今115万亩)，亩产量高达“一钟”(约合今125公斤)，“于是关中为沃野，无凶年，秦以富强，卒并诸侯”(《史记·河渠书》)，命名为郑国渠。此渠流经今陕西泾阳、三原、高陵、临潼、富平等县，横跨冶峪水、清峪水、浊峪水、漆沮水，入于洛水。,,,
10100017,HDSJ,,秦王政二十二年,-225,,,,秦灌大梁,秦将王贲，率军攻打魏国，“引河沟(水)灌大梁，大梁城坏”(《史记·秦始皇本纪》)，魏王请降。,,,
10100018,HDSJ,,秦始皇帝三十二年,-215,,,,整治河防,秦始皇统一六国后，“决通川防，夷去险阻”(《史记·秦始皇本纪》)，即统一管理黄河，拆掉阻水工事，以平险情。,,,
10100020,HDSJ,,秦始皇帝三十三年至三十六年,-214一-211,,,,蒙恬发兵屯垦九原,《史记·秦始皇本纪》记载：始皇“使将军蒙恬发兵三十万人北击胡，略取河南地”，后置九原郡，辖境相当今内蒙古河套地区、包头市和黄河南岸的伊克昭盟全境。此为这一带最早进行移民屯垦和兴修水利的滥觞。,,,
10100021,HDSJ,,西汉初,,,,,“黄河”之称始见于汉初,《史记·高祖功臣侯年表》引汉高祖封爵之誓曰：“使黄河若带，泰山若厉，国以永宁，爰及苗裔。”古文献中“黄河”之称即由此始。,,,
10100022,HDSJ,,汉文帝十二年,-168,,,,河决酸枣,“河决酸枣(今延津县境)，东溃金堤，于是东郡大兴卒塞之”(《史记·河渠书》)。这是汉代黄河最早的一次决口。,,,
10100023,HDSJ,,汉武帝元光三年,-132,,,,濮阳瓠子河决,《史记·河渠书》记载：元光三年“河决于瓠子，东南注巨野，通于淮、泗”。当年堵口失败，汉武帝听信丞相田蚧之言：“江河之决皆天事，未易以人力为强塞，强塞之，未必应天”，故未再堵合，以致泛滥20余年。到元封二年(公元前109年)，汉武帝发卒数万人，亲到河上督工，令群臣从官自将军以下背着薪柴填堵决口，终于堵合。,,,
10100024,HDSJ,,元光六年,-129,,,,关中漕渠建成,关中漕运，西汉前期经黄河人渭，但由于渭河河道多湾，航程较长，时遇险阻。大司农(汉代为掌管国家财经的官员)郑当时提出开直渠通漕的建议：“引渭穿渠起长安，旁南山下，至河三百余里”(《史记·河渠书》)，于潼关汇人黄河。航程可大为缩短，航行时间由6个月缩至3个月。武帝元光六年批准此建议，命齐人徐伯测量，并发动兵卒数万人挖漕渠，经过3年时间完成，使关中东部到都城长安的漕运能力由汉初的数十万石提高到四百万石。,,,
10100025,HDSJ,,汉武帝元朔元年至元狩六年,-128一-117,,,,引汾溉皮氏,关东通往关中的航道必须通过黄河三门峡险阻，漕运困难。为试图避开这条航线，河东(今山西省南部)太守番系提出“穿渠引汾溉皮氏(今河津县西)、汾阴下(今荣河县北)，引河溉汾阴、蒲坂(今永济县境)下，度可得五千顷。……今溉田之，度可得谷二百万石以上。谷从渭上，与关中无异，而砥柱之东可无复漕”(《史记·河渠书》)。这项工程主要是引汾河及黄河水灌今河津、永济一带，发展水利，增产粮食，从而不再从三门峡以东运粮，当时发兵数万作渠田，建成后因河道移徙，引水困难，渠田废弃，没有达到预期目的。,,,
10100026,HDSJ,,汉武帝元朔元年至元狩六年,-128一-117,,,,开褒斜道,为避开三门峡的险阻，又有人提出绕道转运的方案，即“漕从南阳上沔人褒，褒之绝水至斜，间百余里，以车转，从斜下下渭”(《史记·河渠书》)。即将东方的粮食，改从南阳郡(鄂西及豫西南地区)溯汉水而上，一直到汉中的斜谷口，又逆褒水，陆转一百余里到斜水，人渭河，顺流至长安。这一方案由御史大夫张汤转奏，武帝采纳后，派汤子张印发数万人从事开凿，史称“褒斜道”。开成之后，因褒斜的河谷陡峻，水势湍急，不易漕运而失败(《史记·河渠书》)。,,,
10100027,HDSJ,,汉武帝元朔二年至太初元年,-127一-104,,,,移民河套引黄灌田,汉收复河套后建立了朔方、五原郡，当年即移民10万屯垦，后又往河西走廊至后套移民60万实行屯垦。《史记·河渠书》中有“朔方、西河、河西、酒泉皆引河及川谷(水)以溉田”的记载，《史记·平准书》称“朔方亦穿渠，作者数万人”。,,,
