evtp_id,place_id,event,attestation
evtp_1,yrdb2,ev_858,ds_1019
evtp_2,yrdb10,ev_752,ds_1419
evtp_3,yrdb11,ev_1155,ds_296
evtp_4,yrdb1086,ev_1155,ds_296
evtp_5,yrdb1765,ev_1155,ds_296
evtp_6,yrdb12,ev_757,ds_1614
evtp_7,yrdb12,ev_1018,ds_1614
evtp_8,yrdb12,ev_1022,ds_1614
evtp_9,yrdb12,ev_1104,ds_1614
evtp_10,yrdb13,ev_1112,ds_1615
evtp_11,yrdb14,ev_773,ds_1613
evtp_12,yrdb14,ev_815,ds_1613
evtp_13,yrdb14,ev_816,ds_1613
evtp_14,yrdb14,ev_859,ds_1613
evtp_15,yrdb14,ev_885,ds_1613
evtp_16,yrdb14,ev_887,ds_1613
evtp_17,yrdb14,ev_1039,ds_1613
evtp_18,yrdb14,ev_1040,ds_1613
evtp_19,yrdb14,ev_1043,ds_1613
evtp_20,yrdb14,ev_1062,ds_1613
evtp_21,yrdb14,ev_1066,ds_1613
evtp_22,yrdb14,ev_1103,ds_1613
evtp_23,yrdb16,ev_1259,ds_1424
evtp_24,yrdb16,ev_665,ds_1424
evtp_25,yrdb16,ev_669,ds_1424
evtp_26,yrdb16,ev_673,ds_1424
evtp_27,yrdb16,ev_708,ds_1424
evtp_28,yrdb16,ev_711,ds_1424
evtp_29,yrdb16,ev_1127,ds_1424
evtp_30,yrdb16,ev_1248,ds_1618
evtp_31,yrdb18,ev_826,ds_1026
evtp_32,yrdb20,ev_457,ds_153
evtp_33,yrdb709,ev_457,ds_153
evtp_34,yrdb21,ev_815,ds_1617
evtp_35,yrdb21,ev_885,ds_1617
evtp_36,yrdb21,ev_887,ds_1617
evtp_37,yrdb21,ev_897,ds_1617
evtp_38,yrdb21,ev_1042,ds_1617
evtp_39,yrdb21,ev_1046,ds_1617
evtp_40,yrdb21,ev_1063,ds_1617
evtp_41,yrdb24,ev_1749,ds_39
evtp_42,yrdb202,ev_1749,ds_39
evtp_43,yrdb25,ev_1791,ds_935
evtp_44,yrdb25,ev_1648,ds_935
evtp_45,yrdb25,ev_1622,ds_935
evtp_46,yrdb25,ev_1641,ds_935
evtp_47,yrdb25,ev_1695,ds_935
evtp_48,yrdb25,ev_1707,ds_935
evtp_49,yrdb25,ev_1709,ds_935
evtp_50,yrdb25,ev_1780,ds_935
evtp_51,yrdb25,ev_1820,ds_935
evtp_52,yrdb25,ev_1859,ds_935
evtp_53,yrdb25,ev_1987,ds_935
evtp_54,yrdb25,ev_1625,ds_935
evtp_55,yrdb202,ev_1791,ds_935
evtp_56,yrdb202,ev_1648,ds_935
evtp_57,yrdb202,ev_1622,ds_935
evtp_58,yrdb202,ev_1641,ds_935
evtp_59,yrdb202,ev_1695,ds_935
evtp_60,yrdb202,ev_1707,ds_935
evtp_61,yrdb202,ev_1709,ds_935
evtp_62,yrdb202,ev_1780,ds_935
evtp_63,yrdb202,ev_1820,ds_935
evtp_64,yrdb202,ev_1859,ds_935
evtp_65,yrdb202,ev_1987,ds_935
evtp_66,yrdb202,ev_1625,ds_935
evtp_67,yrdb2240,ev_1791,ds_935
evtp_68,yrdb2240,ev_1648,ds_935
evtp_69,yrdb2240,ev_1622,ds_935
evtp_70,yrdb2240,ev_1641,ds_935
evtp_71,yrdb2240,ev_1695,ds_935
evtp_72,yrdb2240,ev_1707,ds_935
evtp_73,yrdb2240,ev_1709,ds_935
evtp_74,yrdb2240,ev_1780,ds_935
evtp_75,yrdb2240,ev_1820,ds_935
evtp_76,yrdb2240,ev_1859,ds_935
evtp_77,yrdb2240,ev_1987,ds_935
evtp_78,yrdb2240,ev_1625,ds_935
evtp_79,yrdb25,ev_329,ds_1330
evtp_80,yrdb25,ev_336,ds_1330
evtp_81,yrdb25,ev_459,ds_1330
evtp_82,yrdb25,ev_1259,ds_1330
evtp_83,yrdb25,ev_1403,ds_1330
evtp_84,yrdb25,ev_1407,ds_1330
evtp_85,yrdb25,ev_306,ds_1330
evtp_86,yrdb25,ev_593,ds_1330
evtp_87,yrdb25,ev_621,ds_1330
evtp_88,yrdb25,ev_623,ds_1330
evtp_89,yrdb25,ev_717,ds_1330
evtp_90,yrdb25,ev_735,ds_1330
evtp_91,yrdb25,ev_737,ds_1330
evtp_92,yrdb25,ev_763,ds_1330
evtp_93,yrdb25,ev_907,ds_1330
evtp_94,yrdb25,ev_1312,ds_1330
evtp_95,yrdb25,ev_1315,ds_1330
evtp_96,yrdb25,ev_1448,ds_1330
evtp_97,yrdb25,ev_1808,ds_1330
evtp_98,yrdb25,ev_1859,ds_1330
evtp_99,yrdb25,ev_2122,ds_1330
evtp_100,yrdb25,ev_1796,ds_1330
evtp_101,yrdb25,ev_1864,ds_1330
evtp_102,yrdb26,ev_1421,ds_38
evtp_103,yrdb2254,ev_1421,ds_38
evtp_104,yrdb30,ev_2548,ds_483
evtp_105,yrdb34,ev_1547,ds_1020
