evetotyp_id,event_id,event_type_id
evetotyp_1,ev_1,evtype_1
evetotyp_2,ev_2,evtype_1
evetotyp_3,ev_3,evtype_1
evetotyp_4,ev_3,evtype_4
evetotyp_5,ev_4,evtype_1
evetotyp_6,ev_4,evtype_2
evetotyp_7,ev_5,evtype_1
evetotyp_8,ev_6,evtype_1
evetotyp_9,ev_7,evtype_1
evetotyp_10,ev_8,evtype_1
evetotyp_11,ev_9,evtype_1
evetotyp_12,ev_9,evtype_10
evetotyp_13,ev_10,evtype_1
evetotyp_14,ev_11,evtype_1
evetotyp_15,ev_11,evtype_4
evetotyp_16,ev_12,evtype_1
evetotyp_17,ev_13,evtype_16
evetotyp_18,ev_14,evtype_1
evetotyp_19,ev_15,evtype_16
evetotyp_20,ev_16,evtype_1
evetotyp_21,ev_17,evtype_16
evetotyp_22,ev_17,evtype_19
evetotyp_23,ev_18,evtype_14
evetotyp_24,ev_19,evtype_4
evetotyp_25,ev_20,evtype_16
evetotyp_26,ev_21,evtype_19
evetotyp_27,ev_22,evtype_12
evetotyp_28,ev_23,evtype_3
evetotyp_29,ev_24,evtype_3
evetotyp_30,ev_25,evtype_12
evetotyp_31,ev_26,evtype_12
evetotyp_32,ev_27,evtype_12
evetotyp_33,ev_28,evtype_12
evetotyp_34,ev_29,evtype_12
evetotyp_35,ev_30,evtype_1
evetotyp_36,ev_30,evtype_4
evetotyp_37,ev_31,evtype_4
evetotyp_38,ev_31,evtype_3
evetotyp_39,ev_31,evtype_2
evetotyp_40,ev_31,evtype_10
evetotyp_41,ev_32,evtype_1
evetotyp_42,ev_33,evtype_11
evetotyp_43,ev_34,evtype_14
evetotyp_44,ev_34,evtype_16
evetotyp_45,ev_35,evtype_1
evetotyp_46,ev_36,evtype_1
evetotyp_47,ev_37,evtype_1
evetotyp_48,ev_37,evtype_4
evetotyp_49,ev_38,evtype_1
evetotyp_50,ev_39,evtype_1
evetotyp_51,ev_40,evtype_1
evetotyp_52,ev_41,evtype_1
evetotyp_53,ev_42,evtype_1
evetotyp_54,ev_43,evtype_11
evetotyp_55,ev_44,evtype_1
evetotyp_56,ev_44,evtype_4
evetotyp_57,ev_45,evtype_10
evetotyp_58,ev_45,evtype_5
evetotyp_59,ev_46,evtype_19
evetotyp_60,ev_47,evtype_8
evetotyp_61,ev_48,evtype_8
evetotyp_62,ev_49,evtype_1
evetotyp_63,ev_50,evtype_16
evetotyp_64,ev_50,evtype_15
evetotyp_65,ev_50,evtype_19
evetotyp_66,ev_51,evtype_7
evetotyp_67,ev_52,evtype_4
evetotyp_68,ev_52,evtype_9
