name_id,name,ch_pinyin,yrdb_id,attestation
nm_0001,交口鎮,jiaokou zhen,yrdb1,us_80111
nm_0002,交口鎮,jiaokou zhen,yrdb1, us_80255
nm_0003,交河,jiao he,yrdb2,ds_1019
nm_0004,交漳村,jiaozhang cun,yrdb3,us_70156
nm_0005,交漳村,jiaozhang cun,yrdb3, us_80895
nm_0006,交道鎮,jiaodao zhen,yrdb6,us_80136
nm_0007,交道鎮,jiaodao zhen,yrdb6, us_20082
nm_0008,交道鎮,jiaodao zhen,yrdb6, us_80171
nm_0009,亦雜石營,yizashi ying,yrdb7,us_80319
nm_0010,享堂,xiangtang,yrdb8,us_80356
nm_0011,京,jing,yrdb9,us_10001
nm_0012,京東,jingdong,yrdb10,ds_1419
nm_0013,京東埽,jingdong sao,yrdb11,ds_296
nm_0014,京東西路,jingdongxi lu,yrdb12,ds_1614
nm_0015,京東諸郡,jingdongzhu jun,yrdb13,ds_1615
nm_0016,京東路,jingdong lu,yrdb14,ds_1613
nm_0017,京兆府,jingzhao fu,yrdb16,ds_1424
nm_0018,京兆府,jingzhao fu,yrdb16, ds_1618
nm_0019,京安鎮,jingan zhen,yrdb17,us_80796
nm_0020,京山縣,jingshan xian,yrdb18,ds_1026
nm_0021,京畿,jingji,yrdb20,ds_153
nm_0022,京西路,jingxi lu,yrdb21,ds_1617
nm_0023,京陵城,jingling cheng,yrdb22,us_40130
nm_0024,亭口鎮,tingkou zhen,yrdb23,us_80192
nm_0025,亳縣,bo xian,yrdb24,ds_39
nm_0026,亳州,bo zhou,yrdb25,ds_935
nm_0027,亳州,bo zhou,yrdb25, ds_1330
nm_0028,亳社屯,boshe tun,yrdb26,ds_38
nm_0029,什字川堡,shizichuan bao,yrdb27,us_70178
nm_0030,什賁,shiben,yrdb28,us_40298
nm_0031,什貼鎮,shitie zhen,yrdb29,us_80710
nm_0032,仁和汛,renhexun,yrdb30,ds_483
nm_0033,仁文鎮,renwen zhen,yrdb31,us_80774
nm_0034,仇池壁,qiuchibi,yrdb32,us_40108
nm_0035,仇池壁,qiuchibi,yrdb32, us_40256
nm_0036,介休縣,jiexiu xian,yrdb34,us_40008
nm_0037,介休縣,jiexiu xian,yrdb34, us_40258
nm_0038,介休縣,jiexiu xian,yrdb34, ds_1020
nm_0039,倉城,cang cheng,yrdb36,us_40150
nm_0040,付村,fu cun,yrdb37,us_80125
nm_0041,仙密寺,xianmi si,yrdb38,us_80308
nm_0042,代州,dai zhou,yrdb39,ds_1346
nm_0043,代來城,dailai cheng,yrdb40,us_40045
nm_0044,代來城,dailai cheng,yrdb40, us_40202
nm_0045,儀封縣,yifeng xian,yrdb41,ds_44
nm_0046,儀封縣,yifeng xian,yrdb41, ds_101
nm_0047,儀封縣,yifeng xian,yrdb41, ds_181
nm_0048,儀封縣,yifeng xian,yrdb41, ds_229
nm_0049,儀封縣,yifeng xian,yrdb41, ds_259
nm_0050,儀封縣,yifeng xian,yrdb41, ds_529
nm_0051,儀封縣,yifeng xian,yrdb41, ds_544
nm_0052,儀封縣,yifeng xian,yrdb41, ds_756
nm_0053,儀封縣,yifeng xian,yrdb41, ds_786
nm_0054,儀封縣,yifeng xian,yrdb41, ds_1267
nm_0055,儀封縣,yifeng xian,yrdb41, ds_709
nm_0056,任城縣,rencheng xian,yrdb43,ds_1138
nm_0057,任村沙谷口,rencunshagu kou,yrdb44,ds_484
nm_0058,伊克錫巴爾,yikexibaer,yrdb45,us_70296
nm_0059,伊是,yishi,yrdb46,us_10032
nm_0060,伊河,yi he,yrdb47,ds_1752
nm_0061,伊洛河,yiluo he,yrdb48,ds_1753
nm_0062,伊闕,yique,yrdb49,us_10010
nm_0063,伊闕,yique,yrdb49, us_20178
nm_0064,伊闕,yique,yrdb49, us_20213
nm_0065,伊闕,yique,yrdb49, us_40087
nm_0066,伊闕,yique,yrdb49, us_20073
nm_0067,伍家營,wujia ying,yrdb53,ds_675
nm_0068,眾興鎮,zhongxing zhen,yrdb54,ds_852
nm_0069,會州城,huizhou cheng,yrdb55,ds_1399
nm_0070,會稽山,kuaiji shan,yrdb56,ds_1702
nm_0071,會通河,huitong he,yrdb57,ds_1572
nm_0072,伯士鎮,boshi zhen,yrdb58,us_80180
nm_0073,何家堡,hejia pu,yrdb59,us_80427
nm_0074,何家營,hejia ying,yrdb60,ds_206
nm_0075,何家集,hejia ji,yrdb61,ds_205
nm_0076,河王莊,hewang zhuang,yrdb62,ds_207
nm_0077,佘泰,shetai,yrdb63,us_81043
nm_0078,余吾,yuwu,yrdb64,us_20199
nm_0079,余吾,yuwu,yrdb64, us_40112
nm_0080,余吾,yuwu,yrdb64, us_40255
nm_0081,佛爺坪,foye ping,yrdb66,us_80235
nm_0082,依克沙巴爾,yikeshabaer,yrdb67,us_81016
nm_0083,侯壁寨,houbi zhai,yrdb68,us_81010
nm_0084,侯家林,houjialin,yrdb69,ds_231
nm_0085,侯家林,houjialin,yrdb69, ds_232
nm_0086,侯家樓,houjialou,yrdb70,ds_233
nm_0087,侯家潭,houjiatan,yrdb71,ds_234
nm_0088,侯馬鎮,houma zhen,yrdb72,us_80806
nm_0089,俄博溝莊,ebogou zhuang,yrdb73,us_80306
nm_0090,保寧堡,baoning bao,yrdb74,us_70332
nm_0091,保寧堡,baoning bao,yrdb74, us_80052
nm_0092,保安,baoan,yrdb75,us_80639
nm_0093,保安,baoan,yrdb75, us_70120
nm_0094,保安軍,baoan jun,yrdb76,ds_1322
nm_0095,保安堡,baoan bao,yrdb77,us_80334
nm_0096,保安站,baoan zhan,yrdb78,us_70165
nm_0097,保安鎮,baoan zhen,yrdb79,us_80154
nm_0098,保定軍,baoding jun,yrdb80,ds_1323
nm_0099,信都,xindu,yrdb81,ds_1236
nm_0100,修武,xiuwu,yrdb82,ds_1240
nm_0101,倒回谷,daohui gu,yrdb83,us_70385
nm_0102,偃師,yanshi,yrdb84,ds_1257
nm_0103,偃師,yanshi,yrdb84, us_40181
nm_0104,偏關,pian guan,yrdb86,ds_449
nm_0105,偏嶺口,pianling kou,yrdb87,us_70110
