ptatt_id,place_id,attestation_id
ptatt_1,yrdb1,us_80111
ptatt_2,yrdb1,us_80255
ptatt_3,yrdb2,ds_1019
ptatt_4,yrdb3,us_70156
ptatt_5,yrdb3,us_80895
ptatt_6,yrdb6,us_80136
ptatt_7,yrdb6,us_20082
ptatt_8,yrdb6,us_80171
ptatt_9,yrdb7,us_80319
ptatt_10,yrdb8,us_80356
ptatt_11,yrdb9,us_10001
ptatt_12,yrdb10,ds_1419
ptatt_13,yrdb11,ds_296
ptatt_14,yrdb12,ds_1614
ptatt_15,yrdb13,ds_1615
ptatt_16,yrdb14,ds_1613
ptatt_17,yrdb16,ds_1424
ptatt_18,yrdb16,ds_1618
ptatt_19,yrdb17,us_80796
ptatt_20,yrdb18,ds_1026
ptatt_21,yrdb20,ds_153
ptatt_22,yrdb21,ds_1617
ptatt_23,yrdb22,us_40130
ptatt_24,yrdb23,us_80192
ptatt_25,yrdb24,ds_39
ptatt_26,yrdb25,ds_935
ptatt_27,yrdb25,ds_1330
ptatt_28,yrdb26,ds_38
ptatt_29,yrdb27,us_70178
ptatt_30,yrdb28,us_40298
ptatt_31,yrdb29,us_80710
ptatt_32,yrdb30,ds_483
ptatt_33,yrdb31,us_80774
ptatt_34,yrdb32,us_40108
ptatt_35,yrdb32,us_40256
ptatt_36,yrdb34,us_40008
ptatt_37,yrdb34,us_40258
ptatt_38,yrdb34,ds_1020
ptatt_39,yrdb36,us_40150
ptatt_40,yrdb37,us_80125
ptatt_41,yrdb38,us_80308
ptatt_42,yrdb39,ds_1346
ptatt_43,yrdb40,us_40045
ptatt_44,yrdb40,us_40202
ptatt_45,yrdb41,ds_44
ptatt_46,yrdb41,ds_101
ptatt_47,yrdb41,ds_181
ptatt_48,yrdb41,ds_229
ptatt_49,yrdb41,ds_259
ptatt_50,yrdb41,ds_529
ptatt_51,yrdb41,ds_544
ptatt_52,yrdb41,ds_756
ptatt_53,yrdb41,ds_786
ptatt_54,yrdb41,ds_1267
ptatt_55,yrdb41,ds_709
ptatt_56,yrdb43,ds_1138
ptatt_57,yrdb44,ds_484
ptatt_58,yrdb45,us_70296
ptatt_59,yrdb46,us_10032
