ptty_id,place_id,ft_id
ptty_1,yrdb1,yft_9
ptty_10,yrdb11,yft_45
ptty_100,yrdb104,yft_32
ptty_1001,yrdb1048,yft_2
ptty_1002,yrdb1049,yft_5
ptty_1005,yrdb1052,yft_6
ptty_1006,yrdb1053,yft_5
ptty_1007,yrdb1054,yft_18
ptty_1008,yrdb1055,yft_13
ptty_1009,yrdb1056,yft_4
ptty_1010,yrdb1057,yft_9
ptty_1011,yrdb1058,yft_20
ptty_1012,yrdb1058,yft_29
ptty_1015,yrdb1061,yft_42
ptty_1016,yrdb1062,yft_9
ptty_1017,yrdb1063,yft_9
ptty_1018,yrdb1064,yft_39
ptty_1019,yrdb1065,yft_33
ptty_1020,yrdb1066,yft_9
ptty_1021,yrdb1067,yft_17
ptty_1022,yrdb1067,yft_27
ptty_1023,yrdb1068,yft_24
ptty_1025,yrdb1070,yft_9
ptty_1026,yrdb1071,yft_5
ptty_1028,yrdb1073,yft_2
ptty_1029,yrdb1074,yft_9
ptty_1030,yrdb1075,yft_13
ptty_1031,yrdb1076,yft_5
ptty_1032,yrdb1077,yft_15
ptty_1033,yrdb1078,yft_6
ptty_1034,yrdb1079,yft_33
ptty_1035,yrdb1080,yft_13
ptty_1036,yrdb1081,yft_14
ptty_1037,yrdb1082,yft_30
ptty_1038,yrdb1083,yft_4
ptty_1039,yrdb1084,yft_21
ptty_104,yrdb109,yft_16
ptty_1040,yrdb1085,yft_13
ptty_1042,yrdb1088,yft_6
ptty_1043,yrdb1089,yft_4
ptty_1044,yrdb1090,yft_5
ptty_1045,yrdb1091,yft_14
ptty_1046,yrdb1092,yft_24
ptty_1047,yrdb1093,yft_9
ptty_1048,yrdb1094,yft_14
ptty_1049,yrdb1095,yft_10
ptty_1050,yrdb1096,yft_14
ptty_1051,yrdb1097,yft_14
ptty_1052,yrdb1098,yft_9
ptty_1053,yrdb1099,yft_9
ptty_1054,yrdb1100,yft_33
ptty_1056,yrdb1102,yft_33
ptty_1057,yrdb1103,yft_37
ptty_1058,yrdb1104,yft_17
ptty_1059,yrdb1104,yft_27
ptty_106,yrdb111,yft_14
ptty_1060,yrdb1105,yft_42
ptty_1061,yrdb1106,yft_9
ptty_1062,yrdb1107,yft_30
ptty_1065,yrdb1110,yft_39
ptty_1066,yrdb1111,yft_35
ptty_1067,yrdb1112,yft_2
ptty_1068,yrdb1113,yft_9
ptty_1069,yrdb1114,yft_33
ptty_107,yrdb112,yft_14
ptty_1070,yrdb1115,yft_9
ptty_1071,yrdb1116,yft_14
ptty_1072,yrdb1117,yft_33
ptty_1073,yrdb1118,yft_14
ptty_1074,yrdb1119,yft_14
ptty_1075,yrdb1120,yft_10
ptty_1076,yrdb1121,yft_9
ptty_1077,yrdb1122,yft_13
ptty_1079,yrdb1124,yft_9
ptty_1080,yrdb1125,yft_44
ptty_1082,yrdb1127,yft_9
ptty_1084,yrdb1129,yft_33
ptty_1085,yrdb1130,yft_10
ptty_1089,yrdb1134,yft_13
ptty_109,yrdb115,yft_14
ptty_1090,yrdb1135,yft_44
ptty_1091,yrdb1136,yft_13
ptty_1093,yrdb1139,yft_4
ptty_1094,yrdb1141,yft_14
ptty_1095,yrdb1143,yft_13
ptty_1096,yrdb1144,yft_13
ptty_1099,yrdb1147,yft_13
ptty_11,yrdb12,yft_2
ptty_1100,yrdb1148,yft_9
ptty_1101,yrdb1149,yft_35
ptty_1105,yrdb1153,yft_9
ptty_1106,yrdb1154,yft_26
ptty_1107,yrdb1155,yft_13
ptty_1108,yrdb1156,yft_33
ptty_1109,yrdb1157,yft_30
ptty_111,yrdb117,yft_17
ptty_1111,yrdb1159,yft_39
ptty_1112,yrdb1160,yft_5
ptty_1113,yrdb1161,yft_40
ptty_1114,yrdb1162,yft_33
ptty_1115,yrdb1163,yft_14
ptty_1116,yrdb1165,yft_9
ptty_1117,yrdb1166,yft_5
ptty_1118,yrdb1167,yft_6
ptty_1119,yrdb1168,yft_7
ptty_112,yrdb117,yft_27
ptty_1120,yrdb1168,yft_12
ptty_1121,yrdb1169,yft_24
ptty_1122,yrdb1170,yft_6
ptty_1123,yrdb1171,yft_7
ptty_1124,yrdb1171,yft_12
ptty_1125,yrdb1172,yft_5
ptty_1126,yrdb1173,yft_33
ptty_1127,yrdb1175,yft_5
ptty_1128,yrdb1176,yft_13
ptty_1130,yrdb1181,yft_4
ptty_1134,yrdb1186,yft_14
ptty_1135,yrdb1187,yft_15
ptty_1136,yrdb1188,yft_14
ptty_1137,yrdb1189,yft_33
ptty_1138,yrdb1190,yft_6
ptty_1139,yrdb1191,yft_14
ptty_1140,yrdb1192,yft_5
ptty_1141,yrdb1194,yft_14
ptty_1143,yrdb1196,yft_30
ptty_1144,yrdb1197,yft_6
ptty_1147,yrdb1200,yft_13
ptty_1148,yrdb1202,yft_25
ptty_1149,yrdb1203,yft_5
ptty_115,yrdb120,yft_33
ptty_1151,yrdb1205,yft_18
ptty_1152,yrdb1207,yft_15
ptty_1153,yrdb1208,yft_14
ptty_1155,yrdb1210,yft_31
ptty_1158,yrdb1213,yft_5
ptty_1159,yrdb1214,yft_17
ptty_116,yrdb121,yft_20
ptty_1160,yrdb1214,yft_27
ptty_1161,yrdb1215,yft_45
ptty_1162,yrdb1216,yft_10
ptty_1163,yrdb1217,yft_23
ptty_1165,yrdb1219,yft_35
ptty_1166,yrdb1220,yft_33
ptty_1167,yrdb1221,yft_14
ptty_1168,yrdb1222,yft_14
ptty_117,yrdb121,yft_29
ptty_1171,yrdb1225,yft_13
ptty_1173,yrdb1228,yft_5
ptty_1174,yrdb1230,yft_40
ptty_1175,yrdb1231,yft_21
ptty_1178,yrdb1234,yft_13
ptty_1179,yrdb1235,yft_20
ptty_118,yrdb122,yft_39
ptty_1180,yrdb1235,yft_29
ptty_1181,yrdb1236,yft_24
ptty_1182,yrdb1237,yft_9
ptty_1183,yrdb1238,yft_14
ptty_1185,yrdb1241,yft_24
ptty_1186,yrdb1242,yft_9
ptty_1188,yrdb1244,yft_9
ptty_119,yrdb123,yft_14
ptty_1190,yrdb1246,yft_15
ptty_1191,yrdb1247,yft_13
ptty_1193,yrdb1249,yft_15
ptty_1194,yrdb1250,yft_18
ptty_1195,yrdb1251,yft_9
ptty_1196,yrdb1252,yft_10
ptty_1197,yrdb1253,yft_15
ptty_1198,yrdb1254,yft_18
ptty_1199,yrdb1255,yft_33
ptty_12,yrdb13,yft_7
ptty_1200,yrdb1256,yft_13
ptty_1201,yrdb1257,yft_9
ptty_1204,yrdb1260,yft_15
ptty_1206,yrdb1262,yft_9
ptty_1207,yrdb1263,yft_19
ptty_1208,yrdb1264,yft_36
ptty_1209,yrdb1265,yft_13
ptty_1210,yrdb1266,yft_9
ptty_1211,yrdb1267,yft_9
ptty_1212,yrdb1268,yft_15
ptty_1213,yrdb1269,yft_9
ptty_1214,yrdb1270,yft_23
ptty_1215,yrdb1271,yft_8
ptty_1216,yrdb1272,yft_14
ptty_1217,yrdb1273,yft_16
ptty_1219,yrdb1275,yft_15
ptty_1220,yrdb1277,yft_13
ptty_1221,yrdb1278,yft_9
ptty_1223,yrdb1280,yft_15
ptty_1224,yrdb1282,yft_6
ptty_1225,yrdb1283,yft_17
ptty_1226,yrdb1283,yft_27
ptty_1227,yrdb1284,yft_9
ptty_1228,yrdb1285,yft_9
ptty_1229,yrdb1286,yft_9
ptty_123,yrdb128,yft_6
ptty_1231,yrdb1288,yft_14
ptty_1232,yrdb1289,yft_30
ptty_1233,yrdb1290,yft_33
ptty_1234,yrdb1291,yft_33
ptty_1236,yrdb1293,yft_24
ptty_1237,yrdb1294,yft_10
ptty_1238,yrdb1295,yft_40
ptty_1239,yrdb1296,yft_33
ptty_124,yrdb129,yft_15
ptty_1240,yrdb1297,yft_33
ptty_1241,yrdb1298,yft_33
ptty_1242,yrdb1299,yft_17
ptty_1243,yrdb1299,yft_27
ptty_1245,yrdb1301,yft_23
ptty_1246,yrdb1302,yft_24
ptty_1247,yrdb1303,yft_32
ptty_1248,yrdb1304,yft_14
ptty_125,yrdb130,yft_9
ptty_1250,yrdb1306,yft_9
ptty_1251,yrdb1307,yft_9
ptty_1252,yrdb1308,yft_5
ptty_1253,yrdb1309,yft_15
ptty_1254,yrdb1310,yft_7
ptty_1255,yrdb1310,yft_12
ptty_1256,yrdb1311,yft_6
ptty_1257,yrdb1312,yft_17
ptty_1258,yrdb1312,yft_27
ptty_1259,yrdb1313,yft_44
ptty_126,yrdb131,yft_48
ptty_1260,yrdb1314,yft_9
ptty_1261,yrdb1315,yft_35
ptty_1263,yrdb1317,yft_13
ptty_1266,yrdb1320,yft_45
ptty_1268,yrdb1322,yft_5
ptty_1269,yrdb1323,yft_32
ptty_127,yrdb133,yft_6
ptty_1270,yrdb1324,yft_13
ptty_1271,yrdb1325,yft_19
ptty_1274,yrdb1328,yft_28
ptty_1277,yrdb1331,yft_26
ptty_128,yrdb134,yft_4
ptty_1280,yrdb1334,yft_9
ptty_1281,yrdb1335,yft_15
ptty_1282,yrdb1336,yft_9
ptty_1283,yrdb1337,yft_9
ptty_1284,yrdb1338,yft_9
ptty_1285,yrdb1339,yft_5
ptty_1288,yrdb1342,yft_14
ptty_1289,yrdb1343,yft_9
ptty_129,yrdb135,yft_30
ptty_1290,yrdb1344,yft_23
ptty_1291,yrdb1345,yft_30
ptty_1292,yrdb1346,yft_9
ptty_1293,yrdb1347,yft_9
ptty_1295,yrdb1351,yft_16
ptty_1297,yrdb1353,yft_6
ptty_1298,yrdb1354,yft_33
ptty_1299,yrdb1355,yft_14
ptty_13,yrdb13,yft_12
ptty_1300,yrdb1356,yft_24
ptty_1301,yrdb1357,yft_30
ptty_1302,yrdb1358,yft_39
ptty_1304,yrdb1360,yft_5
ptty_1305,yrdb1361,yft_9
ptty_1306,yrdb1362,yft_45
ptty_1307,yrdb1363,yft_33
ptty_1308,yrdb1364,yft_9
ptty_131,yrdb138,yft_18
ptty_1310,yrdb1367,yft_25
ptty_1311,yrdb1368,yft_13
