,yrdb_id,place,event
0,yrdb2,ds_1019,ev_858
1,yrdb10,ds_1419,ev_752
2,yrdb11,ds_296,ev_1155
3,yrdb1086,ds_296,ev_1155
4,yrdb1765,ds_296,ev_1155
5,yrdb12,ds_1614,ev_757
6,yrdb12,ds_1614,ev_1018
7,yrdb12,ds_1614,ev_1022
8,yrdb12,ds_1614,ev_1104
9,yrdb13,ds_1615,ev_1112
10,yrdb14,ds_1613,ev_773
11,yrdb14,ds_1613,ev_815
12,yrdb14,ds_1613,ev_816
13,yrdb14,ds_1613,ev_859
14,yrdb14,ds_1613,ev_885
15,yrdb14,ds_1613,ev_887
16,yrdb14,ds_1613,ev_1039
17,yrdb14,ds_1613,ev_1040
18,yrdb14,ds_1613,ev_1043
19,yrdb14,ds_1613,ev_1062
20,yrdb14,ds_1613,ev_1066
21,yrdb14,ds_1613,ev_1103
22,yrdb16,ds_1424,ev_1259
23,yrdb16,ds_1424,ev_665
24,yrdb16,ds_1424,ev_669
25,yrdb16,ds_1424,ev_673
26,yrdb16,ds_1424,ev_708
27,yrdb16,ds_1424,ev_711
28,yrdb16,ds_1424,ev_1127
29,yrdb16,ds_1618,ev_1248
30,yrdb18,ds_1026,ev_826
31,yrdb20,ds_153,ev_457
32,yrdb709,ds_153,ev_457
33,yrdb21,ds_1617,ev_815
34,yrdb21,ds_1617,ev_885
35,yrdb21,ds_1617,ev_887
36,yrdb21,ds_1617,ev_897
37,yrdb21,ds_1617,ev_1042
38,yrdb21,ds_1617,ev_1046
39,yrdb21,ds_1617,ev_1063
40,yrdb24,ds_39,ev_1749
41,yrdb202,ds_39,ev_1749
42,yrdb25,ds_935,ev_1791
43,yrdb25,ds_935,ev_1648
44,yrdb25,ds_935,ev_1622
45,yrdb25,ds_935,ev_1641
46,yrdb25,ds_935,ev_1695
47,yrdb25,ds_935,ev_1707
48,yrdb25,ds_935,ev_1709
49,yrdb25,ds_935,ev_1780
50,yrdb25,ds_935,ev_1820
51,yrdb25,ds_935,ev_1859
52,yrdb25,ds_935,ev_1987
53,yrdb25,ds_935,ev_1625
54,yrdb202,ds_935,ev_1791
55,yrdb202,ds_935,ev_1648
56,yrdb202,ds_935,ev_1622
57,yrdb202,ds_935,ev_1641
58,yrdb202,ds_935,ev_1695
59,yrdb202,ds_935,ev_1707
60,yrdb202,ds_935,ev_1709
61,yrdb202,ds_935,ev_1780
62,yrdb202,ds_935,ev_1820
63,yrdb202,ds_935,ev_1859
64,yrdb202,ds_935,ev_1987
65,yrdb202,ds_935,ev_1625
66,yrdb2240,ds_935,ev_1791
67,yrdb2240,ds_935,ev_1648
68,yrdb2240,ds_935,ev_1622
69,yrdb2240,ds_935,ev_1641
70,yrdb2240,ds_935,ev_1695
71,yrdb2240,ds_935,ev_1707
72,yrdb2240,ds_935,ev_1709
73,yrdb2240,ds_935,ev_1780
74,yrdb2240,ds_935,ev_1820
75,yrdb2240,ds_935,ev_1859
76,yrdb2240,ds_935,ev_1987
77,yrdb2240,ds_935,ev_1625
78,yrdb25,ds_1330,ev_329
79,yrdb25,ds_1330,ev_336
80,yrdb25,ds_1330,ev_459
81,yrdb25,ds_1330,ev_1259
82,yrdb25,ds_1330,ev_1403
83,yrdb25,ds_1330,ev_1407
84,yrdb25,ds_1330,ev_306
85,yrdb25,ds_1330,ev_593
86,yrdb25,ds_1330,ev_621
87,yrdb25,ds_1330,ev_623
88,yrdb25,ds_1330,ev_717
89,yrdb25,ds_1330,ev_735
90,yrdb25,ds_1330,ev_737
91,yrdb25,ds_1330,ev_763
92,yrdb25,ds_1330,ev_907
93,yrdb25,ds_1330,ev_1312
94,yrdb25,ds_1330,ev_1315
95,yrdb25,ds_1330,ev_1448
96,yrdb25,ds_1330,ev_1808
97,yrdb25,ds_1330,ev_1859
98,yrdb25,ds_1330,ev_2122
99,yrdb25,ds_1330,ev_1796
100,yrdb25,ds_1330,ev_1864
101,yrdb26,ds_38,ev_1421
102,yrdb2254,ds_38,ev_1421
103,yrdb30,ds_483,ev_2548
104,yrdb34,ds_1020,ev_1547
105,yrdb1709,ds_1020,ev_1547
106,yrdb39,ds_1346,ev_855
107,yrdb39,ds_1346,ev_901
108,yrdb1754,ds_1346,ev_855
109,yrdb1754,ds_1346,ev_901
110,yrdb41,ds_44,ev_2368
111,yrdb2666,ds_44,ev_2368
112,yrdb41,ds_101,ev_2638
113,yrdb41,ds_101,ev_2650
114,yrdb616,ds_101,ev_2638
115,yrdb616,ds_101,ev_2650
116,yrdb41,ds_181,ev_2424
117,yrdb41,ds_181,ev_2391
118,yrdb562,ds_181,ev_2424
119,yrdb562,ds_181,ev_2391
120,yrdb41,ds_229,ev_2571
121,yrdb1843,ds_229,ev_2571
122,yrdb41,ds_259,ev_1635
123,yrdb41,ds_259,ev_1754
124,yrdb41,ds_259,ev_1756
125,yrdb41,ds_259,ev_1759
126,yrdb41,ds_259,ev_1765
127,yrdb41,ds_259,ev_1791
128,yrdb41,ds_259,ev_1792
129,yrdb41,ds_259,ev_1795
130,yrdb41,ds_259,ev_1818
131,yrdb41,ds_259,ev_1826
132,yrdb41,ds_259,ev_1307
133,yrdb41,ds_259,ev_1523
134,yrdb41,ds_259,ev_1794
135,yrdb41,ds_259,ev_1803
136,yrdb3503,ds_259,ev_1635
137,yrdb3503,ds_259,ev_1754
138,yrdb3503,ds_259,ev_1756
139,yrdb3503,ds_259,ev_1759
140,yrdb3503,ds_259,ev_1765
141,yrdb3503,ds_259,ev_1791
142,yrdb3503,ds_259,ev_1792
143,yrdb3503,ds_259,ev_1795
144,yrdb3503,ds_259,ev_1818
145,yrdb3503,ds_259,ev_1826
146,yrdb3503,ds_259,ev_1307
147,yrdb3503,ds_259,ev_1523
148,yrdb3503,ds_259,ev_1794
149,yrdb3503,ds_259,ev_1803
150,yrdb41,ds_529,ev_2316
151,yrdb2268,ds_529,ev_2316
152,yrdb41,ds_544,ev_2571
153,yrdb1647,ds_544,ev_2571
154,yrdb41,ds_756,ev_2766
155,yrdb1451,ds_756,ev_2766
156,yrdb41,ds_786,ev_1846
157,yrdb41,ds_1267,ev_1419
158,yrdb41,ds_1267,ev_1581
159,yrdb41,ds_1267,ev_1635
160,yrdb41,ds_1267,ev_1749
161,yrdb41,ds_1267,ev_1751
162,yrdb41,ds_1267,ev_1756
163,yrdb41,ds_1267,ev_1761
164,yrdb41,ds_1267,ev_1795
165,yrdb41,ds_1267,ev_2022
166,yrdb41,ds_1267,ev_2141
167,yrdb41,ds_1267,ev_2261
168,yrdb41,ds_1267,ev_2271
169,yrdb41,ds_1267,ev_2275
170,yrdb41,ds_1267,ev_2281
171,yrdb41,ds_1267,ev_2283
172,yrdb41,ds_1267,ev_2303
173,yrdb41,ds_1267,ev_2312
174,yrdb41,ds_1267,ev_2322
175,yrdb41,ds_1267,ev_2349
176,yrdb41,ds_1267,ev_2357
177,yrdb41,ds_1267,ev_2433
178,yrdb41,ds_1267,ev_2442
179,yrdb41,ds_1267,ev_2448
180,yrdb41,ds_1267,ev_2449
181,yrdb41,ds_1267,ev_2476
182,yrdb41,ds_1267,ev_2499
183,yrdb41,ds_1267,ev_2576
184,yrdb41,ds_1267,ev_2646
185,yrdb41,ds_1267,ev_2651
