,evtps_id,ev_id,source_id,source_text,notes
0,,ev_1,,燧人氏时天下多水。,
0,,ev_2,,汤汤洪水方割，荡荡怀山襄陵，浩浩滔天......,
0,,ev_3,,当尧之时，天下犹未平。洪水横流，泛滥于天下，草木畅茂；禽兽繁殖；五谷不登，禽兽逼人。兽蹄鸟迹之道，交于中国。,
0,,ev_4,,昔禹之湮洪水、决江河而通四夷九州也，名山三百，支川三千，小者无数。禹亲自操橐耜，而九杂天下之川。,
0,,ev_5,,洪水滔天......,
0,,ev_6,,禹五年水。,
0,,ev_7,,昔上龙门未开，吕梁未发，河出孟门，大溢逆流。无有丘陵沃衍，平原高阜，尽皆灭之，名曰鸿水。禹于是疏河决江，为彭蠡之障。干东土，所活者千八百国。,
0,,ev_8,,当帝尧之时，鸿水滔天，浩浩怀山襄陵。,
0,,ev_9,,帝尧之时，遭洪水滔滔，天下沉渍，九州阏塞，四渎壅闭。,
0,,ev_10,,尧、禹有九年之水......,
0,,ev_11,,往古之时，四极废，九州裂；天不兼覆，地不周载；火滥炎而不灭；水浩洋而不息。,
0,,ev_12,,洪水泛滥《尚书》,
0,,ev_13,,帝求能治水者，四岳举苏，帝乃封苏为崇伯，使治之，苏乃大与徒役，作九仞之城，岂无成功。（历代通鉴辑览）,
0,,ev_13,,苏治洪水九年，功弗成。,
0,,ev_14,,甲辰六十有一载洪水。（历代通鉴辑览）,
0,,ev_15,,乙卯七十有二载，命禹治水。（历代通鉴辑览）癸亥八十载，禹治水成功。（历代通鉴辑览）,
0,,ev_15,,禹治水，八年而成功。,
0,,ev_15,,遵河积石，至于龙门，南至于华阴，东至于底柱，又东至于孟津，东过洛汭，北国降水没至于大陆，又北播为九河，同为逆河入于海。（禹贡）,
0,,ev_16,,“昔黄帝之时，天大雾三日，帝游洛水之上，见大鱼，煞五牲以醮之，天乃甚雨，七日七夜，鱼流始得图书，今《河图·视萌篇》是也。”《水经注》卷十五·洛水,
0,,ev_17,,“鲧障洪水”，采取水来土挡的方法，治了九年，没有成功，受到制裁。舜继尧位后，又举鲧的儿子禹继承父业。禹联合伯益、后稷等部族，用“行山表木”、“准绳、规矩”等工具，“居外十三年，过家门不敢入”。《国语·鲁语下》,
0,,ev_17,,(《史记·夏本纪》)经过广泛的调查研究，改过去“障水”为“疏导”，终于把“浸山灭陵”的洪水，分疏九河，导流入于渤海，平治了水患。,
0,,ev_18,,舜继尧位后，又举鲧的儿子禹继承父业。禹改过去“障水”为“疏导”，联合伯益、后稷等部族，“居外十三年，过家门不敢人”，专心治水，终于把“浸山灭陵”的洪水，分疏九河，导流人于渤海，平治了水患。(《史记·夏本纪》),
