ev_t_typ_id,Event ID,EventType Chinese
1,1,evtype_1
2,2,evtype_1
3,3,evtype_1
4,3,evtype_4
5,4,evtype_1
6,4,evtype_2
7,5,evtype_1
8,6,evtype_1
9,7,evtype_1
10,8,evtype_1
11,9,evtype_1
12,9,evtype_10
13,10,evtype_1
14,11,evtype_1
15,11,evtype_4
16,12,evtype_1
17,13,evtype_16
18,14,evtype_1
19,15,evtype_16
20,16,evtype_1
21,17,evtype_16
22,17,evtype_19
23,18,evtype_14
24,19,evtype_4
25,20,evtype_16
26,21,evtype_19
27,22,evtype_12
28,23,evtype_3
29,24,evtype_3
30,25,evtype_12
31,26,evtype_12
32,27,evtype_12
33,28,evtype_12
34,29,evtype_12
35,30,evtype_1
36,30,evtype_4
37,31,evtype_4
38,31,evtype_3
39,31,evtype_2
40,31,evtype_10
41,32,evtype_1
42,33,evtype_11
43,34,evtype_14
44,34,evtype_16
45,35,evtype_1
46,36,evtype_1
47,37,evtype_1
48,37,evtype_4
49,38,evtype_1
50,39,evtype_1
51,40,evtype_1
52,41,evtype_1
53,42,evtype_1
54,43,evtype_11
55,44,evtype_1
56,44,evtype_4
57,45,evtype_10
58,45,evtype_5
59,46,evtype_19
60,47,evtype_8
61,48,evtype_8
62,49,evtype_1
63,50,evtype_16
64,50,evtype_15
65,50,evtype_19
66,51,evtype_7
67,52,evtype_4
68,52,evtype_9
69,53,evtype_1
70,54,evtype_1
71,55,evtype_1
72,56,evtype_1
73,57,evtype_11
74,57,evtype_16
75,58,evtype_1
76,59,evtype_7
77,60,evtype_1
78,61,evtype_1
79,62,evtype_4
80,63,evtype_11
81,64,evtype_19
82,65,evtype_19
83,66,evtype_1
84,66,evtype_9
85,67,evtype_9
86,68,evtype_7
87,69,evtype_16
88,69,evtype_19
89,70,evtype_2
90,70,evtype_1
91,71,evtype_5
92,72,evtype_7
93,73,evtype_5
94,74,evtype_16
95,74,evtype_15
96,74,evtype_19
97,75,evtype_2
98,76,evtype_7
99,77,evtype_4
100,78,evtype_4
101,79,evtype_16
102,79,evtype_19
103,80,evtype_19
104,81,evtype_5
105,82,evtype_16
106,82,evtype_15
107,82,evtype_19
108,83,evtype_5
109,84,evtype_5
110,85,evtype_4
111,85,evtype_10
112,86,evtype_1
113,87,evtype_4
114,87,evtype_1
115,88,evtype_16
116,88,evtype_19
117,89,evtype_1
118,90,evtype_5
119,91,evtype_5
120,92,evtype_1
121,93,evtype_16
122,93,evtype_15
123,93,evtype_19
124,94,evtype_1
125,95,evtype_5
126,96,evtype_16
127,97,evtype_12
128,97,evtype_15
129,97,evtype_19
130,98,evtype_4
131,99,evtype_4
132,100,evtype_1
133,101,evtype_3
134,102,evtype_1
135,103,evtype_1
136,104,evtype_1
137,105,evtype_1
138,106,evtype_2
139,107,evtype_1
140,108,evtype_11
141,109,evtype_4
142,109,evtype_1
143,110,evtype_4
144,111,evtype_1
145,112,evtype_1
146,113,evtype_19
147,114,evtype_2
148,114,evtype_8
149,115,evtype_19
150,116,evtype_19
151,117,evtype_16
152,117,evtype_15
153,117,evtype_19
154,118,evtype_12
155,118,evtype_16
156,118,evtype_15
157,118,evtype_19
158,119,evtype_1
159,120,evtype_1
160,121,evtype_19
161,122,evtype_16
162,122,evtype_15
163,122,evtype_19
164,123,evtype_2
165,123,evtype_8
166,124,evtype_17
167,125,evtype_2
168,125,evtype_8
169,126,evtype_16
170,126,evtype_15
171,126,evtype_19
172,127,evtype_11
173,128,evtype_4
174,129,evtype_11
175,130,evtype_17
176,130,evtype_19
177,131,evtype_1
178,132,evtype_19
179,133,evtype_15
180,134,evtype_1
181,135,evtype_1
182,136,evtype_4
183,136,evtype_1
184,137,evtype_4
185,138,evtype_2
186,138,evtype_9
187,139,evtype_6
188,140,evtype_1
189,140,evtype_2
190,141,evtype_1
191,142,evtype_4
192,143,evtype_2
193,144,evtype_4
194,144,evtype_1
195,145,evtype_18
196,146,evtype_2
197,147,evtype_2
198,148,evtype_2
199,149,evtype_18
200,150,evtype_18
201,151,evtype_1
202,152,evtype_11
203,153,evtype_11
204,154,evtype_1
205,154,evtype_11
206,154,evtype_19
207,155,evtype_1
208,156,evtype_1
209,157,evtype_1
210,158,evtype_1
211,159,evtype_11
212,160,evtype_11
213,160,evtype_1
214,160,evtype_4
215,161,evtype_11
216,161,evtype_1
217,161,evtype_4
218,162,evtype_2
219,162,evtype_6
220,163,evtype_11
221,164,evtype_6
222,165,evtype_2
223,166,evtype_1
224,167,evtype_2
225,167,evtype_8
226,168,evtype_4
227,168,evtype_1
228,169,evtype_2
229,170,evtype_4
230,171,evtype_4
231,172,evtype_1
232,173,evtype_4
233,174,evtype_4
234,175,evtype_1
235,176,evtype_11
236,177,evtype_4
237,178,evtype_4
238,179,evtype_4
239,180,evtype_1
