Location_id,Place_id,Attestation,Latitude,Longitude
loc_0001,yrdb1,us_80111,110.2150965,36.67219191
loc_0002,yrdb1,us_80255,109.2838018,34.52659619
loc_0003,yrdb2,ds_1019,116.2843833,38.01875833
loc_0004,yrdb3,us_70156,113.5511836,36.92457637
loc_0005,yrdb3,us_80895,113.5552745,36.92132976
loc_0006,yrdb6,us_80136,109.4494828,35.95141145
loc_0007,yrdb6,us_20082,108.6722664,34.35754292
loc_0008,yrdb6,us_80171,109.8840203,35.07888775
loc_0009,yrdb7,us_80319,101.3099602,36.21581774
loc_0010,yrdb8,us_80356,102.723776,36.33711558
loc_0011,yrdb9,us_10001,113.4145922,34.62711815
loc_0012,yrdb10,ds_1419,115.6506833,34.41552222
loc_0013,yrdb11,ds_296,114.5333333,34.83333333
loc_0014,yrdb12,ds_1614,,
loc_0015,yrdb13,ds_1615,,
loc_0016,yrdb14,ds_1613,,
loc_0017,yrdb16,ds_1424,108.9349972,34.34259167
loc_0018,yrdb16,ds_1618,,
loc_0019,yrdb17,us_80796,111.335465,35.9159401
loc_0020,yrdb18,ds_1026,113.1058417,31.025175
loc_0021,yrdb20,ds_153,109.6,34.96666667
loc_0022,yrdb21,ds_1617,,
loc_0023,yrdb22,us_40130,112.2165661,37.18181779
loc_0024,yrdb23,us_80192,107.9430026,35.07911003
loc_0025,yrdb24,ds_39,115.7833333,33.85
loc_0026,yrdb25,ds_935,117.5548,32.87370278
loc_0027,yrdb25,ds_1330,115.78,33.8784
loc_0028,yrdb26,ds_38,115.6333333,34.4
loc_0029,yrdb27,us_70178,104.0068074,36.05400632
loc_0030,yrdb28,us_40298,108.913374,40.40772648
loc_0031,yrdb29,us_80710,112.8441175,37.7972116
loc_0032,yrdb30,ds_483,119.85,34.01666667
loc_0033,yrdb31,us_80774,111.7626136,36.72706803
loc_0034,yrdb32,us_40108,111.7471347,36.41539922
loc_0035,yrdb32,us_40256,111.755328,36.41564946
loc_0036,yrdb34,us_40008,111.9608597,37.0346121
