name_id,language,name,en_transliteration,yrdb_id,attestation
nm_01,zh-cn,京兆,,yrdb16,ds_1618
nm_02,zh-cn,京師,,yrdb246,ds_1423
nm_03,zh-cn,中都,,yrdb3621,ds_1567
nm_04,zh-cn,京師,,yrdb1823,ds_1422
nm_05,zh-cn,東都,,yrdb1824,ds_1357
nm_06,zh-cn,京畿,,yrdb246,ds_1420
nm_07,zh-cn,京畿,,yrdb246,ds_1616
nm_08,zh-cn,京畿,,yrdb1086,ds_1421
nm_09,zh-cn,單縣,,yrdb41,ds_709
nm_10,zh-cn,伊氏,,yrdb46,ds_10032
nm_11,zh-cn,伊闕（關）,,yrdb49,us_20073
nm_12,zh-cn,伊闕（關）,,yrdb49,us_30015
nm_13,zh-cn,伊闕（關）,,yrdb49,us_30065
nm_14,zh-cn,何王莊,,yrdb62,ds_207
nm_15,zh-cn,藺陽縣,,yrdb139,ds_175
nm_16,zh-cn,康王馬頭,,yrdb175,ds_162
nm_17,zh-cn,臺,,yrdb211,ds_356
nm_18,zh-cn,北京市,,yrdb246,ds_1764
nm_19,zh-cn,大都,,yrdb246,ds_1344
nm_20,zh-cn,北婁口,,yrdb256,us_70141
nm_21,zh-cn,黃浦,,yrdb309,ds_540
nm_22,zh-cn,南大通山口堡,,yrdb320,us_70360
nm_23,zh-cn,南川伏羌堡,,yrdb325,us_70364
nm_24,zh-cn,古崤關,,yrdb2686,us_70378
nm_25,zh-cn,同心城堡,,yrdb427,us_80429
nm_26,zh-cn,同心城堡,,yrdb427,us_70190
nm_27,zh-cn,向,,yrdb432,us_10013
nm_28,zh-cn,吳,,yrdb458,us_10059
nm_29,zh-cn,城,,yrdb440,us_20067
nm_30,zh-cn,回村（集）,,yrdb521,ds_263
nm_31,zh-cn,固關,,yrdb527,us_70155
nm_32,zh-cn,固關,,yrdb527,us_80883
nm_33,zh-cn,堌場集,,yrdb562,ds_181
nm_34,zh-cn,壺關口,,yrdb577,us_30051
nm_35,zh-cn,壺口關,,yrdb577,us_20120
nm_36,zh-cn,壺口關,,yrdb577,us_20204
