name_id,name,yrdb_id,ch_pinyin,attestation
nm_0001,交口鎮,yrdb1,jiaokou zhen,us_80111
nm_0002,交口鎮,yrdb1,jiaokou zhen, us_80255
nm_0003,交河,yrdb2,jiao he,ds_1019
nm_0004,交漳村,yrdb3,jiaozhang cun,us_70156
nm_0005,交漳村,yrdb3,jiaozhang cun, us_80895
nm_0006,交道鎮,yrdb6,jiaodao zhen,us_80136
nm_0007,交道鎮,yrdb6,jiaodao zhen, us_20082
nm_0008,交道鎮,yrdb6,jiaodao zhen, us_80171
nm_0009,亦雜石營,yrdb7,yizashi ying,us_80319
nm_0010,享堂,yrdb8,xiangtang,us_80356
nm_0011,京,yrdb9,jing,us_10001
nm_0012,京東,yrdb10,jingdong,ds_1419
nm_0013,京東埽,yrdb11,jingdong sao,ds_296
nm_0014,京東西路,yrdb12,jingdongxi lu,ds_1614
nm_0015,京東諸郡,yrdb13,jingdongzhu jun,ds_1615
nm_0016,京東路,yrdb14,jingdong lu,ds_1613
nm_0017,京兆府,yrdb16,jingzhao fu,ds_1424
nm_0018,京兆府,yrdb16,jingzhao fu, ds_1618
nm_0019,京安鎮,yrdb17,jingan zhen,us_80796
nm_0020,京山縣,yrdb18,jingshan xian,ds_1026
nm_0021,京畿,yrdb20,jingji,ds_153
nm_0022,京西路,yrdb21,jingxi lu,ds_1617
nm_0023,京陵城,yrdb22,jingling cheng,us_40130
nm_0024,亭口鎮,yrdb23,tingkou zhen,us_80192
nm_0025,亳縣,yrdb24,bo xian,ds_39
nm_0026,亳州,yrdb25,bo zhou,ds_935
nm_0027,亳州,yrdb25,bo zhou, ds_1330
nm_0028,亳社屯,yrdb26,boshe tun,ds_38
nm_0029,什字川堡,yrdb27,shizichuan bao,us_70178
nm_0030,什賁,yrdb28,shiben,us_40298
nm_0031,什貼鎮,yrdb29,shitie zhen,us_80710
nm_0032,仁和汛,yrdb30,renhexun,ds_483
nm_0033,仁文鎮,yrdb31,renwen zhen,us_80774
nm_0034,仇池壁,yrdb32,qiuchibi,us_40108
nm_0035,仇池壁,yrdb32,qiuchibi, us_40256
nm_0036,介休縣,yrdb34,jiexiu xian,us_40008
nm_0037,介休縣,yrdb34,jiexiu xian, us_40258
nm_0038,介休縣,yrdb34,jiexiu xian, ds_1020
nm_0039,倉城,yrdb36,cang cheng,us_40150
nm_0040,付村,yrdb37,fu cun,us_80125
nm_0041,仙密寺,yrdb38,xianmi si,us_80308
nm_0042,代州,yrdb39,dai zhou,ds_1346
nm_0043,代來城,yrdb40,dailai cheng,us_40045
nm_0044,代來城,yrdb40,dailai cheng, us_40202
nm_0045,儀封縣,yrdb41,yifeng xian,ds_44
nm_0046,儀封縣,yrdb41,yifeng xian, ds_101
nm_0047,儀封縣,yrdb41,yifeng xian, ds_181
nm_0048,儀封縣,yrdb41,yifeng xian, ds_229
nm_0049,儀封縣,yrdb41,yifeng xian, ds_259
nm_0050,儀封縣,yrdb41,yifeng xian, ds_529
nm_0051,儀封縣,yrdb41,yifeng xian, ds_544
nm_0052,儀封縣,yrdb41,yifeng xian, ds_756
nm_0053,儀封縣,yrdb41,yifeng xian, ds_786
nm_0054,儀封縣,yrdb41,yifeng xian, ds_1267
nm_0055,儀封縣,yrdb41,yifeng xian, ds_709
nm_0056,任城縣,yrdb43,rencheng xian,ds_1138
nm_0057,任村沙谷口,yrdb44,rencunshagu kou,ds_484
nm_0058,伊克錫巴爾,yrdb45,yikexibaer,us_70296
nm_0059,伊是,yrdb46,yishi,us_10032
nm_0060,伊河,yrdb47,yi he,ds_1752
nm_0061,伊洛河,yrdb48,yiluo he,ds_1753
nm_0062,伊闕,yrdb49,yique,us_10010
nm_0063,伊闕,yrdb49,yique, us_20178
nm_0064,伊闕,yrdb49,yique, us_20213
nm_0065,伊闕,yrdb49,yique, us_40087
nm_0066,伊闕,yrdb49,yique, us_20073
nm_0067,伍家營,yrdb53,wujia ying,ds_675
nm_0068,眾興鎮,yrdb54,zhongxing zhen,ds_852
nm_0069,會州城,yrdb55,huizhou cheng,ds_1399
nm_0070,會稽山,yrdb56,kuaiji shan,ds_1702
nm_0071,會通河,yrdb57,huitong he,ds_1572
nm_0072,伯士鎮,yrdb58,boshi zhen,us_80180
nm_0073,何家堡,yrdb59,hejia pu,us_80427
nm_0074,何家營,yrdb60,hejia ying,ds_206
nm_0075,何家集,yrdb61,hejia ji,ds_205
nm_0076,河王莊,yrdb62,hewang zhuang,ds_207
nm_0077,佘泰,yrdb63,shetai,us_81043
nm_0078,余吾,yrdb64,yuwu,us_20199
nm_0079,余吾,yrdb64,yuwu, us_40112
nm_0080,余吾,yrdb64,yuwu, us_40255
nm_0081,佛爺坪,yrdb66,foye ping,us_80235
nm_0082,依克沙巴爾,yrdb67,yikeshabaer,us_81016
