yrdb_id,tr_title,ch_pinyin
yrdb1,交口鎮,jiaokou zhen
yrdb2,交河,jiao he
yrdb3,交漳村,jiaozhang cun
yrdb6,交道鎮,jiaodao zhen
yrdb7,亦雜石營,yizashi ying
yrdb8,享堂,xiangtang
yrdb9,京,jing
yrdb10,京東,jingdong
yrdb11,京東埽,jingdong sao
yrdb12,京東西路,jingdongxi lu
yrdb13,京東諸郡,jingdongzhu jun
yrdb14,京東路,jingdong lu
yrdb16,京兆府,jingzhao fu
yrdb17,京安鎮,jingan zhen
yrdb18,京山縣,jingshan xian
yrdb20,京畿,jingji
yrdb21,京西路,jingxi lu
yrdb22,京陵城,jingling cheng
yrdb23,亭口鎮,tingkou zhen
yrdb24,亳縣,bo xian
yrdb25,亳州,bo zhou
yrdb26,亳社屯,boshe tun
yrdb27,什字川堡,shizichuan bao
yrdb28,什賁,shiben
yrdb29,什貼鎮,shitie zhen
yrdb30,仁和汛,renhexun
yrdb31,仁文鎮,renwen zhen
yrdb32,仇池壁,qiuchibi
yrdb34,介休縣,jiexiu xian
yrdb36,倉城,cang cheng
yrdb37,付村,fu cun
yrdb38,仙密寺,xianmi si
yrdb39,代州,dai zhou
yrdb40,代來城,dailai cheng
yrdb41,儀封縣,yifeng xian
yrdb43,任城縣,rencheng xian
yrdb44,任村沙谷口,rencunshagu kou
yrdb45,伊克錫巴爾,yikexibaer
yrdb46,伊是,yishi
yrdb47,伊河,yi he
yrdb48,伊洛河,yiluo he
yrdb49,伊闕,yique
yrdb53,伍家營,wujia ying
yrdb54,眾興鎮,zhongxing zhen
yrdb55,會州城,huizhou cheng
yrdb56,會稽山,kuaiji shan
yrdb57,會通河,huitong he
yrdb58,伯士鎮,boshi zhen
yrdb59,何家堡,hejia pu
yrdb60,何家營,hejia ying
yrdb61,何家集,hejia ji
yrdb62,河王莊,hewang zhuang
yrdb63,佘泰,shetai
yrdb64,余吾,yuwu
yrdb66,佛爺坪,foye ping
yrdb67,依克沙巴爾,yikeshabaer
yrdb68,侯壁寨,houbi zhai
yrdb69,侯家林,houjialin
yrdb70,侯家樓,houjialou
yrdb71,侯家潭,houjiatan
yrdb72,侯馬鎮,houma zhen
yrdb73,俄博溝莊,ebogou zhuang
yrdb74,保寧堡,baoning bao
yrdb75,保安,baoan
yrdb76,保安軍,baoan jun
yrdb77,保安堡,baoan bao
yrdb78,保安站,baoan zhan
yrdb79,保安鎮,baoan zhen
yrdb80,保定軍,baoding jun
yrdb81,信都,xindu
yrdb82,修武,xiuwu
yrdb83,倒回谷,daohui gu
yrdb84,偃師,yanshi
yrdb86,偏關,pian guan
yrdb87,偏嶺口,pianling kou
