yrdb_id,ft_id
yrdb1,town
yrdb2,river
yrdb3,village
yrdb6,town
yrdb7,encampment
yrdb8,not specified
yrdb9,not specified
yrdb10,not specified
yrdb11,embarkment
yrdb12,route
yrdb13,commandery
yrdb14,route
yrdb16,prefecture
yrdb17,town
yrdb18,county
yrdb20,not specified
yrdb21,route
yrdb22,walled settlement
yrdb23,town
yrdb24,county
yrdb25,prefecture
yrdb26,encampment
yrdb27,fortress
yrdb28,not specified
yrdb29,town
yrdb30,not specified
yrdb31,town
yrdb32,not specified
yrdb34,county
yrdb36,walled settlement
yrdb37,village
yrdb38,temple
yrdb39,prefecture
yrdb40,walled settlement
yrdb41,county
yrdb43,county
yrdb44,estuary
yrdb45,not specified
yrdb46,not specified
yrdb47,river
yrdb48,river
yrdb49,not specified
yrdb53,encampment
yrdb54,town
yrdb55,walled settlement
yrdb56,mountain
yrdb57,river
yrdb58,town
yrdb59,fortress
yrdb60,encampment
yrdb61,community
yrdb62,manor
yrdb63,not specified
yrdb64,walled settlement
yrdb66,flat
yrdb67,not specified
yrdb68,stockade
yrdb69,not specified
yrdb70,not specified
yrdb71,not specified
yrdb72,town
yrdb73,manor
yrdb74,fortress
yrdb75,not specified
yrdb76,commandery
yrdb77,fortress
yrdb78,military post
yrdb79,town
yrdb80,commandery
yrdb81,not specified
yrdb82,county
yrdb83,river valley
yrdb84,not specified
yrdb86,customs house
yrdb87,estuary
yrdb88,town
yrdb89,town
yrdb90,manor
yrdb91,bay
yrdb92,fortress
yrdb93,town
yrdb94,not specified
yrdb95,county
yrdb96,not specified
yrdb97,not specified
yrdb98,not specified
yrdb99,not specified
yrdb100,walled settlement
yrdb101,walled settlement
yrdb102,village
yrdb103,town
yrdb104,river
yrdb105,not specified
yrdb107,not specified
yrdb108,not specified
yrdb109,post station
yrdb110,not specified
yrdb111,fortress
yrdb112,fortress
yrdb113,not specified
yrdb115,fortress
yrdb116,not specified
yrdb117,encampment
yrdb118,not specified
yrdb119,not specified
yrdb120,estuary
yrdb121,temple
yrdb122,bay
yrdb123,fortress
yrdb124,not specified
yrdb125,not specified
yrdb127,not specified
yrdb128,county
yrdb129,customs house
yrdb130,town
yrdb131,canal
yrdb133,county
yrdb134,prefecture
yrdb135,manor
yrdb136,not specified
yrdb138,military post
yrdb139,county
yrdb141,not specified
yrdb142,county
yrdb143,not specified
yrdb144,not specified
yrdb145,not specified
yrdb146,walled settlement
yrdb148,mountain
yrdb149,town
yrdb150,estuary
yrdb151,not specified
yrdb152,estuary
yrdb153,not specified
yrdb154,not specified
yrdb155,commandery
yrdb156,state
yrdb157,prefecture
yrdb158,department
yrdb159,town
yrdb160,customs house
yrdb161,fortress
yrdb162,not specified
yrdb163,not specified
yrdb164,not specified
yrdb166,county
yrdb167,route
yrdb168,department
yrdb169,county
yrdb171,town
yrdb172,fortress
yrdb173,province
yrdb174,county
yrdb175,not specified
yrdb176,not specified
yrdb178,ferry crossing
yrdb179,county
yrdb180,ford
yrdb181,village
yrdb182,town
yrdb183,town
yrdb184,village
yrdb185,estuary
yrdb186,fortress
yrdb187,manor
yrdb188,town
yrdb189,town
yrdb190,fortress
yrdb191,fortress
yrdb192,customs house
yrdb193,prefecture
yrdb194,not specified
yrdb195,not specified
yrdb196,manor
yrdb197,neighborhood
yrdb198,town
yrdb199,department
yrdb200,county
yrdb201,prefecture
yrdb202,not specified
yrdb203,mountain
yrdb205,customs house
yrdb207,not specified
yrdb208,not specified
yrdb209,river
yrdb210,neighborhood
yrdb211,not specified
yrdb212,estuary
yrdb213,estuary
yrdb214,estuary
yrdb215,manor
yrdb216,not specified
yrdb217,manor
yrdb218,stockade
yrdb219,village
yrdb220,not specified
yrdb221,village
yrdb222,not specified
yrdb223,not specified
yrdb224,department
yrdb225,route
yrdb226,fortress
yrdb227,fortress
yrdb228,ford
yrdb230,not specified
yrdb231,stockade
yrdb232,neighborhood
yrdb233,not specified
yrdb234,not specified
yrdb235,stockade
yrdb236,township
yrdb237,not specified
yrdb239,town
yrdb240,not specified
yrdb241,village
yrdb242,not specified
yrdb243,town
yrdb244,bureau
yrdb245,walled settlement
yrdb246,not specified
yrdb248,ferry crossing
yrdb249,not specified
yrdb251,not specified
yrdb252,estuary
yrdb254,mountain
yrdb255,encampment
yrdb256,estuary
yrdb257,fortress
yrdb258,not specified
yrdb259,commandery
yrdb260,river
yrdb261,fortress
yrdb262,fortress
yrdb263,town
yrdb264,town
yrdb265,not specified
yrdb266,bay
yrdb267,town
yrdb268,fortress
yrdb269,fortress
yrdb270,estuary
yrdb271,fortress
yrdb272,bridge
yrdb273,fortress
yrdb274,fortress
yrdb275,encampment
yrdb276,post station
yrdb277,fortress
yrdb278,fortress
yrdb279,creek
yrdb280,town
yrdb281,not specified
yrdb282,fortress
yrdb283,post station
yrdb284,mudflat
yrdb285,not specified
yrdb286,not specified
yrdb288,fortress
yrdb289,neighborhood
yrdb290,not specified
yrdb291,department
yrdb292,not specified
yrdb293,ditch
yrdb295,neighborhood
yrdb296,customs house
yrdb297,ridge
yrdb298,mountain
yrdb299,department
yrdb300,not specified
yrdb302,walled settlement
yrdb303,not specified
yrdb305,manor
yrdb306,county
yrdb308,estuary
yrdb309,manor
yrdb310,not specified
yrdb311,department
yrdb312,county
yrdb313,estuary
yrdb314,not specified
yrdb315,route
yrdb316,stockade
yrdb317,customs house
yrdb318,department
yrdb319,county
yrdb320,fortress
yrdb322,palace
yrdb323,not specified
yrdb325,encampment
yrdb326,walled settlement
yrdb327,route
yrdb328,village
yrdb330,fortress
yrdb331,stockade
yrdb332,dike
yrdb333,bureau
yrdb334,stockade
yrdb335,not specified
yrdb336,river
yrdb337,village
yrdb338,not specified
yrdb339,not specified
yrdb340,department
yrdb341,prefecture
yrdb342,not specified
